#Date,Quarter,Energy prices (euros/MWh)
01/01/2013,00:00 -> 00:15,32.97
01/01/2013,00:15 -> 00:30,32.97
01/01/2013,00:30 -> 00:45,32.97
01/01/2013,00:45 -> 01:00,32.97
01/01/2013,01:00 -> 01:15,32.96
01/01/2013,01:15 -> 01:30,32.96
01/01/2013,01:30 -> 01:45,32.96
01/01/2013,01:45 -> 02:00,32.96
01/01/2013,02:00 -> 02:15,32.6
01/01/2013,02:15 -> 02:30,32.6
01/01/2013,02:30 -> 02:45,32.6
01/01/2013,02:45 -> 03:00,32.6
01/01/2013,03:00 -> 03:15,13.54
01/01/2013,03:15 -> 03:30,13.54
01/01/2013,03:30 -> 03:45,13.54
01/01/2013,03:45 -> 04:00,13.54
01/01/2013,04:00 -> 04:15,10.2
01/01/2013,04:15 -> 04:30,10.2
01/01/2013,04:30 -> 04:45,10.2
01/01/2013,04:45 -> 05:00,10.2
01/01/2013,05:00 -> 05:15,10.19
01/01/2013,05:15 -> 05:30,10.19
01/01/2013,05:30 -> 05:45,10.19
01/01/2013,05:45 -> 06:00,10.19
01/01/2013,06:00 -> 06:15,10.15
01/01/2013,06:15 -> 06:30,10.15
01/01/2013,06:30 -> 06:45,10.15
01/01/2013,06:45 -> 07:00,10.15
01/01/2013,07:00 -> 07:15,10.04
01/01/2013,07:15 -> 07:30,10.04
01/01/2013,07:30 -> 07:45,10.04
01/01/2013,07:45 -> 08:00,10.04
01/01/2013,08:00 -> 08:15,11.94
01/01/2013,08:15 -> 08:30,11.94
01/01/2013,08:30 -> 08:45,11.94
01/01/2013,08:45 -> 09:00,11.94
01/01/2013,09:00 -> 09:15,12.15
01/01/2013,09:15 -> 09:30,12.15
01/01/2013,09:30 -> 09:45,12.15
01/01/2013,09:45 -> 10:00,12.15
01/01/2013,10:00 -> 10:15,12.24
01/01/2013,10:15 -> 10:30,12.24
01/01/2013,10:30 -> 10:45,12.24
01/01/2013,10:45 -> 11:00,12.24
01/01/2013,11:00 -> 11:15,14.25
01/01/2013,11:15 -> 11:30,14.25
01/01/2013,11:30 -> 11:45,14.25
01/01/2013,11:45 -> 12:00,14.25
01/01/2013,12:00 -> 12:15,21.21
01/01/2013,12:15 -> 12:30,21.21
01/01/2013,12:30 -> 12:45,21.21
01/01/2013,12:45 -> 13:00,21.21
01/01/2013,13:00 -> 13:15,17.41
01/01/2013,13:15 -> 13:30,17.41
01/01/2013,13:30 -> 13:45,17.41
01/01/2013,13:45 -> 14:00,17.41
01/01/2013,14:00 -> 14:15,14.06
01/01/2013,14:15 -> 14:30,14.06
01/01/2013,14:30 -> 14:45,14.06
01/01/2013,14:45 -> 15:00,14.06
01/01/2013,15:00 -> 15:15,14.67
01/01/2013,15:15 -> 15:30,14.67
01/01/2013,15:30 -> 15:45,14.67
01/01/2013,15:45 -> 16:00,14.67
01/01/2013,16:00 -> 16:15,16.7
01/01/2013,16:15 -> 16:30,16.7
01/01/2013,16:30 -> 16:45,16.7
01/01/2013,16:45 -> 17:00,16.7
01/01/2013,17:00 -> 17:15,32.05
01/01/2013,17:15 -> 17:30,32.05
01/01/2013,17:30 -> 17:45,32.05
01/01/2013,17:45 -> 18:00,32.05
01/01/2013,18:00 -> 18:15,44.94
01/01/2013,18:15 -> 18:30,44.94
01/01/2013,18:30 -> 18:45,44.94
01/01/2013,18:45 -> 19:00,44.94
01/01/2013,19:00 -> 19:15,37.06
