#Date,Quarter,Load (MW)
01/01/2013,00:00 -> 00:15,8386.188
01/01/2013,00:15 -> 00:30,8269.031
01/01/2013,00:30 -> 00:45,8118.75
01/01/2013,00:45 -> 01:00,7983.364
01/01/2013,01:00 -> 01:15,7904.27
01/01/2013,01:15 -> 01:30,7744.05
01/01/2013,01:30 -> 01:45,7648.916
01/01/2013,01:45 -> 02:00,7503.948
01/01/2013,02:00 -> 02:15,7426.564
01/01/2013,02:15 -> 02:30,7332.042
01/01/2013,02:30 -> 02:45,7223.951
01/01/2013,02:45 -> 03:00,7126.662
01/01/2013,03:00 -> 03:15,7042.309
01/01/2013,03:15 -> 03:30,6970.847
01/01/2013,03:30 -> 03:45,6922.83
01/01/2013,03:45 -> 04:00,6871.11
01/01/2013,04:00 -> 04:15,6843.553
01/01/2013,04:15 -> 04:30,6801.238
01/01/2013,04:30 -> 04:45,6786.13
01/01/2013,04:45 -> 05:00,6772.199
01/01/2013,05:00 -> 05:15,6813.318
01/01/2013,05:15 -> 05:30,6821.739
01/01/2013,05:30 -> 05:45,6841.591
01/01/2013,05:45 -> 06:00,6848.978
01/01/2013,06:00 -> 06:15,6898.156
01/01/2013,06:15 -> 06:30,6897.147
01/01/2013,06:30 -> 06:45,6915.838
01/01/2013,06:45 -> 07:00,6851.869
01/01/2013,07:00 -> 07:15,6693.801
01/01/2013,07:15 -> 07:30,6641.657
01/01/2013,07:30 -> 07:45,6652.119
01/01/2013,07:45 -> 08:00,6652.653
01/01/2013,08:00 -> 08:15,6668.676
01/01/2013,08:15 -> 08:30,6712.443
01/01/2013,08:30 -> 08:45,6740.66
01/01/2013,08:45 -> 09:00,6712.388
01/01/2013,09:00 -> 09:15,6772.408
01/01/2013,09:15 -> 09:30,6835.372
01/01/2013,09:30 -> 09:45,6922.141
01/01/2013,09:45 -> 10:00,6989.324
01/01/2013,10:00 -> 10:15,7096.969
01/01/2013,10:15 -> 10:30,7178.054
01/01/2013,10:30 -> 10:45,7258.498
01/01/2013,10:45 -> 11:00,7334.398
01/01/2013,11:00 -> 11:15,7393.162
01/01/2013,11:15 -> 11:30,7436.062
01/01/2013,11:30 -> 11:45,7520.541
01/01/2013,11:45 -> 12:00,7541.671
01/01/2013,12:00 -> 12:15,7592.592
01/01/2013,12:15 -> 12:30,7570.399
01/01/2013,12:30 -> 12:45,7601.706
01/01/2013,12:45 -> 13:00,7611.26
01/01/2013,13:00 -> 13:15,7586.922
01/01/2013,13:15 -> 13:30,7506.751
01/01/2013,13:30 -> 13:45,7469.019
01/01/2013,13:45 -> 14:00,7411.918
01/01/2013,14:00 -> 14:15,7366
01/01/2013,14:15 -> 14:30,7340.466
01/01/2013,14:30 -> 14:45,7249.223
01/01/2013,14:45 -> 15:00,7238.719
01/01/2013,15:00 -> 15:15,7323.823
01/01/2013,15:15 -> 15:30,7365.044
01/01/2013,15:30 -> 15:45,7416.31
01/01/2013,15:45 -> 16:00,7438.99
01/01/2013,16:00 -> 16:15,7500.637
01/01/2013,16:15 -> 16:30,7553.274
01/01/2013,16:30 -> 16:45,7619.268
01/01/2013,16:45 -> 17:00,7819.157
01/01/2013,17:00 -> 17:15,8121.235
01/01/2013,17:15 -> 17:30,8348.979
01/01/2013,17:30 -> 17:45,8489.386
01/01/2013,17:45 -> 18:00,8570.026
01/01/2013,18:00 -> 18:15,8621.027
01/01/2013,18:15 -> 18:30,8638.739
01/01/2013,18:30 -> 18:45,8653.844
01/01/2013,18:45 -> 19:00,8610.851
01/01/2013,19:00 -> 19:15,8594.097
01/01/2013,19:15 -> 19:30,8539.776
01/01/2013,19:30 -> 19:45,8546.493
01/01/2013,19:45 -> 20:00,8507.138
01/01/2013,20:00 -> 20:15,8405.874
01/01/2013,20:15 -> 20:30,8292.219
01/01/2013,20:30 -> 20:45,8264.256
01/01/2013,20:45 -> 21:00,8184.307
01/01/2013,21:00 -> 21:15,8171.951
01/01/2013,21:15 -> 21:30,8135.626
01/01/2013,21:30 -> 21:45,8110.1
01/01/2013,21:45 -> 22:00,8105.57
01/01/2013,22:00 -> 22:15,8389.422
01/01/2013,22:15 -> 22:30,8672.769
01/01/2013,22:30 -> 22:45,8758.013
01/01/2013,22:45 -> 23:00,8701.556
01/01/2013,23:00 -> 23:15,8879.615
01/01/2013,23:15 -> 23:30,8754.587
01/01/2013,23:30 -> 23:45,8621.582
01/01/2013,23:45 -> 00:00,8441.642
02/01/2013,00:00 -> 00:15,8278.548
02/01/2013,00:15 -> 00:30,8143.442
02/01/2013,00:30 -> 00:45,8000.173
02/01/2013,00:45 -> 01:00,7852.816
02/01/2013,01:00 -> 01:15,7790.008
02/01/2013,01:15 -> 01:30,7624.653
02/01/2013,01:30 -> 01:45,7549.246
02/01/2013,01:45 -> 02:00,7443.44
02/01/2013,02:00 -> 02:15,7400.925
02/01/2013,02:15 -> 02:30,7334.345
02/01/2013,02:30 -> 02:45,7249.283
02/01/2013,02:45 -> 03:00,7185.066
02/01/2013,03:00 -> 03:15,7133.841
02/01/2013,03:15 -> 03:30,7109.836
02/01/2013,03:30 -> 03:45,7099.994
02/01/2013,03:45 -> 04:00,7110.494
02/01/2013,04:00 -> 04:15,7129.384
02/01/2013,04:15 -> 04:30,7133.913
02/01/2013,04:30 -> 04:45,7182.296
02/01/2013,04:45 -> 05:00,7241.55
02/01/2013,05:00 -> 05:15,7358.338
02/01/2013,05:15 -> 05:30,7459.268
02/01/2013,05:30 -> 05:45,7571.967
02/01/2013,05:45 -> 06:00,7722.862
02/01/2013,06:00 -> 06:15,7986.085
02/01/2013,06:15 -> 06:30,8165.306
02/01/2013,06:30 -> 06:45,8310.643
02/01/2013,06:45 -> 07:00,8386.006
02/01/2013,07:00 -> 07:15,8396.623
02/01/2013,07:15 -> 07:30,8523.357
02/01/2013,07:30 -> 07:45,8741.977
02/01/2013,07:45 -> 08:00,8959.091
02/01/2013,08:00 -> 08:15,9173.394
02/01/2013,08:15 -> 08:30,9359.848
02/01/2013,08:30 -> 08:45,9494.097
02/01/2013,08:45 -> 09:00,9435.413
02/01/2013,09:00 -> 09:15,9560.382
02/01/2013,09:15 -> 09:30,9588.469
02/01/2013,09:30 -> 09:45,9606.133
02/01/2013,09:45 -> 10:00,9598.565
02/01/2013,10:00 -> 10:15,9653.148
02/01/2013,10:15 -> 10:30,9659.08
02/01/2013,10:30 -> 10:45,9679.219
02/01/2013,10:45 -> 11:00,9687.402
02/01/2013,11:00 -> 11:15,9692.055
02/01/2013,11:15 -> 11:30,9735.811
02/01/2013,11:30 -> 11:45,9774.088
02/01/2013,11:45 -> 12:00,9759.655
02/01/2013,12:00 -> 12:15,9700.508
02/01/2013,12:15 -> 12:30,9655.371
02/01/2013,12:30 -> 12:45,9748.443
02/01/2013,12:45 -> 13:00,9784.144
02/01/2013,13:00 -> 13:15,9750.667
02/01/2013,13:15 -> 13:30,9849.397
02/01/2013,13:30 -> 13:45,9880.468
02/01/2013,13:45 -> 14:00,9818.187
02/01/2013,14:00 -> 14:15,9852.515
02/01/2013,14:15 -> 14:30,9847.447
02/01/2013,14:30 -> 14:45,9889.942
02/01/2013,14:45 -> 15:00,9977.47
02/01/2013,15:00 -> 15:15,10025.701
02/01/2013,15:15 -> 15:30,10005.896
02/01/2013,15:30 -> 15:45,10014.978
02/01/2013,15:45 -> 16:00,10014.294
02/01/2013,16:00 -> 16:15,10069.318
02/01/2013,16:15 -> 16:30,10137
02/01/2013,16:30 -> 16:45,10238.409
02/01/2013,16:45 -> 17:00,10329.981
02/01/2013,17:00 -> 17:15,10682.442
02/01/2013,17:15 -> 17:30,10884.797
02/01/2013,17:30 -> 17:45,11089.758
02/01/2013,17:45 -> 18:00,11233.768
02/01/2013,18:00 -> 18:15,11119.555
02/01/2013,18:15 -> 18:30,11132.94
02/01/2013,18:30 -> 18:45,11035.772
02/01/2013,18:45 -> 19:00,10918.593
02/01/2013,19:00 -> 19:15,10806.927
02/01/2013,19:15 -> 19:30,10692.746
02/01/2013,19:30 -> 19:45,10522.267
02/01/2013,19:45 -> 20:00,10416.692
02/01/2013,20:00 -> 20:15,10315.397
02/01/2013,20:15 -> 20:30,10126.36
02/01/2013,20:30 -> 20:45,10054.052
02/01/2013,20:45 -> 21:00,9769.825
02/01/2013,21:00 -> 21:15,9630.71
02/01/2013,21:15 -> 21:30,9655.402
02/01/2013,21:30 -> 21:45,9533.357
02/01/2013,21:45 -> 22:00,9434.132
02/01/2013,22:00 -> 22:15,9639.718
02/01/2013,22:15 -> 22:30,9850.913
02/01/2013,22:30 -> 22:45,9841.059
