#Date,Quarter,System imbalance(MW)
01/01/2013,00:00 -> 00:15,-83.9
01/01/2013,00:15 -> 00:30,17.2
01/01/2013,00:30 -> 00:45,104.9
01/01/2013,00:45 -> 01:00,179.0
01/01/2013,01:00 -> 01:15,24.0
01/01/2013,01:15 -> 01:30,59.4
01/01/2013,01:30 -> 01:45,48.6
01/01/2013,01:45 -> 02:00,185.6
01/01/2013,02:00 -> 02:15,53.5
01/01/2013,02:15 -> 02:30,102.4
01/01/2013,02:30 -> 02:45,205.7
01/01/2013,02:45 -> 03:00,156.3
01/01/2013,03:00 -> 03:15,10.7
01/01/2013,03:15 -> 03:30,2.8
01/01/2013,03:30 -> 03:45,-12.4
01/01/2013,03:45 -> 04:00,93.7
01/01/2013,04:00 -> 04:15,13.6
01/01/2013,04:15 -> 04:30,30.2
01/01/2013,04:30 -> 04:45,34.1
01/01/2013,04:45 -> 05:00,26.4
01/01/2013,05:00 -> 05:15,1.0
01/01/2013,05:15 -> 05:30,44.5
01/01/2013,05:30 -> 05:45,44.7
01/01/2013,05:45 -> 06:00,-7.7
01/01/2013,06:00 -> 06:15,-74.8
01/01/2013,06:15 -> 06:30,-45.1
01/01/2013,06:30 -> 06:45,-44.4
01/01/2013,06:45 -> 07:00,36.4
01/01/2013,07:00 -> 07:15,-0.3
01/01/2013,07:15 -> 07:30,42.1
01/01/2013,07:30 -> 07:45,-1.0
01/01/2013,07:45 -> 08:00,83.1
01/01/2013,08:00 -> 08:15,242.3
01/01/2013,08:15 -> 08:30,200.3
01/01/2013,08:30 -> 08:45,217.0
01/01/2013,08:45 -> 09:00,270.2
01/01/2013,09:00 -> 09:15,464.1
01/01/2013,09:15 -> 09:30,300.4
01/01/2013,09:30 -> 09:45,188.9
01/01/2013,09:45 -> 10:00,130.1
01/01/2013,10:00 -> 10:15,266.6
01/01/2013,10:15 -> 10:30,127.7
01/01/2013,10:30 -> 10:45,78.8
01/01/2013,10:45 -> 11:00,58.4
01/01/2013,11:00 -> 11:15,214.8
01/01/2013,11:15 -> 11:30,132.2
01/01/2013,11:30 -> 11:45,24.2
01/01/2013,11:45 -> 12:00,23.9
01/01/2013,12:00 -> 12:15,178.7
01/01/2013,12:15 -> 12:30,207.3
01/01/2013,12:30 -> 12:45,161.1
01/01/2013,12:45 -> 13:00,177.5
01/01/2013,13:00 -> 13:15,106.1
01/01/2013,13:15 -> 13:30,175.1
01/01/2013,13:30 -> 13:45,210.9
01/01/2013,13:45 -> 14:00,214.1
01/01/2013,14:00 -> 14:15,-30.4
01/01/2013,14:15 -> 14:30,29.0
01/01/2013,14:30 -> 14:45,317.0
01/01/2013,14:45 -> 15:00,466.1
01/01/2013,15:00 -> 15:15,182.4
01/01/2013,15:15 -> 15:30,128.3
01/01/2013,15:30 -> 15:45,21.8
01/01/2013,15:45 -> 16:00,96.4
01/01/2013,16:00 -> 16:15,-127.5
01/01/2013,16:15 -> 16:30,67.0
